wl,refl,refl_u
401.82374,0.02625825484933756,0.0009491863847105616
402.61047,0.02638551736931178,0.0009539509461688574
403.39714,0.02671349050038079,0.000965752688599526
404.18373,0.026887622571137654,0.0009722140936963891
404.97025,0.027230054538551835,0.0009844457051186182
405.7567,0.027490666304399277,0.0009942227775834233
406.54308,0.027817767467523024,0.0010056939576744194
407.32939,0.028002246886135427,0.0010125168234003496
408.11562,0.028342103180454124,0.0010247414110833995
408.90179,0.028582929173212653,0.0010333728352386819
409.68788,0.028885334946687685,0.001044596747872326
410.4739,0.02908476568463918,0.001051965699365158
411.25984,0.029418483309119878,0.001063516077957852
412.04572,0.02963981433987958,0.0010713476842271455
412.83152,0.029891155791678996,0.0010808177683480115
413.61726,0.03033393733562225,0.0010967346918401269
414.40292,0.0304106627305882,0.0010994975677067187
415.18851,0.03079449380200721,0.0011134796947892699
415.97402,0.031016690455808005,0.0011214197130510193
416.75947,0.03138120512227746,0.0011346465089654223
417.54484,0.03166182733712513,0.0011448797963051706
418.33014,0.03191650707133749,0.0011538253132459964
419.11537,0.032158944738551284,0.0011625746470370307
419.90053,0.03248581101728328,0.0011745656161498068
420.68562,0.0327573528641628,0.001184286487217902
421.47063,0.0330049282820059,0.0011932542566574812
422.25558,0.03316293029118711,0.0011989439253739724
423.04045,0.03353709917471726,0.001212433618592861
423.82525,0.03369926511366949,0.001218208131724309
424.60997,0.03414209558280421,0.0012342919095936118
425.39463,0.0342160152079149,0.001236953042872361
426.17921,0.03435921685245163,0.0012421309028283801
426.96372,0.0346630543204772,0.0012532357547245818
427.74816,0.03481443405809393,0.0012588040865394714
428.53253,0.03492112798555783,0.0012629835171593408
429.31683,0.0350991208917489,0.0012692499271790105
430.10105,0.035327781509829854,0.001277651094368505
430.88521,0.03560021285730989,0.0012874803391712303
431.66929,0.03560536923476175,0.0012876729370064105
432.4533,0.03548489379987197,0.0012831511573817035
433.23723,0.035777600265736044,0.001293900179223069
434.0211,0.03592705845278265,0.0012993789106230842
434.80489,0.0360241606859185,0.0013032005346197734
435.58861,0.03606594132145474,0.0013044240691379569
436.37226,0.03607659577368475,0.0013047776071538316
437.15584,0.03621760731692734,0.0013102901909932821
437.93935,0.036378842874635935,0.0013156146664525796
438.72278,0.036533772661224775,0.001321355809830879
439.50615,0.03654228787916343,0.0013220312679735986
440.28944,0.03662587122559159,0.0013252868747184294
441.07266,0.03686191267774762,0.0013335127530447418
441.8558,0.03691907909997677,0.0013358656303159256
442.63888,0.03705765340088752,0.0013406923276009363
443.42188,0.037115861851983095,0.0013427369967801562
444.20482,0.03722852576614622,0.0013464060001671854
444.98768,0.037425825841034016,0.001354000200316243
445.77046,0.0375960218551755,0.0013600683846037376
446.55318,0.03778092952704296,0.0013664416380376552
447.33582,0.03785518847908848,0.0013690956263340277
448.1184,0.0380411470107517,0.0013762640569886895
448.9009,0.03822352786758293,0.0013827309882070552
449.68333,0.038351824182744854,0.0013872281906864158
450.46568,0.03848561017641693,0.0013919583739877527
451.24797,0.03868526962897461,0.0013992875186411848
452.03018,0.038811296081939846,0.0014038516345586428
452.81232,0.039047200226696006,0.0014124072120362053
453.59439,0.039123399449462574,0.0014154930677893
454.37639,0.03914912321907348,0.0014160721530019568
455.15832,0.039368600289999375,0.0014239945790754068
455.94017,0.03936402533203183,0.0014238340728294659
456.72195,0.03951581410656449,0.0014293932025371957
457.50366,0.03966795994872316,0.001434879727925098
458.2853,0.039768677462319685,0.0014385204962414242
459.06687,0.039868331873313394,0.0014418883312335088
459.84836,0.03992656939827333,0.0014444628447834098
460.62979,0.04008248811935053,0.0014496697596375879
461.41114,0.0401569747788338,0.001452771669329434
462.19242,0.04020914861721967,0.001454818567796201
462.97362,0.040248319248311876,0.0014562101335950505
463.75476,0.04034451735157664,0.001459694464388632
464.53582,0.040426268359292285,0.001462554115836136
465.31681,0.040526324029112396,0.0014659277792346223
466.09773,0.04056853694479,0.0014676908164874007
466.87858,0.0407484644825454,0.0014746170564868188
467.65936,0.04066926750533939,0.0014715116327982953
468.44006,0.040740071932734,0.0014742218910852945
469.22069,0.04073157448345391,0.0014739919233732201
470.00125,0.04074907765590666,0.001474536542971206
470.78174,0.040726724099631975,0.0014741049583750878
471.56216,0.040844469110452704,0.0014778836721268645
472.3425,0.040840344066198436,0.001478110052836903
473.12278,0.04092559015388932,0.0014812477410943757
473.90298,0.04096848629016042,0.0014832029764428611
474.68311,0.040928726872365255,0.0014812728092251878
475.46316,0.04092235396022664,0.0014810987607604227
476.24315,0.040898019150368656,0.0014802368579858649
477.02306,0.04101298704525331,0.0014844193087514012
477.8029,0.041076336386139445,0.0014868631189050845
478.58267,0.041033712941435305,0.0014852531947940075
479.36237,0.04110622876222903,0.001488031683289235
480.142,0.04112093214483999,0.0014882495700128974
480.92155,0.04118763117317005,0.0014911803274943655
481.70103,0.04114475075365083,0.0014891005708861556
482.48044,0.041236070848360666,0.001492615961864977
483.25978,0.04127782416549769,0.001494180303526111
484.03905,0.041340549637112894,0.0014966783510445432
484.81824,0.04133634273280555,0.0014966568335876354
485.59736,0.04146241871976841,0.0015004139876808032
486.37641,0.04157214509333081,0.001504393885108908
487.15539,0.041649606297667376,0.0015075077077952963
487.9343,0.041617092338745526,0.0015062792352303225
488.71313,0.04175721405217558,0.0015110291200759042
489.49189,0.04191678854222314,0.00151715986945159
490.27058,0.0420368072169511,0.0015217266912256307
491.0492,0.04212646810088944,0.0015243796563380702
491.82775,0.04238779140532194,0.0015339602999179228
492.60623,0.042551221604222936,0.0015402469155797929
